id,unit_type,no_of_room,no_of_bed,no_of_bath,host_id,host_name,neighbourhood_group,neighbourhood,city,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,number_of_reviews_ltm,rating,license,is_new,calendar.count_demand,calendar.min_night,calendar.max_night
855891766061703141,Home , 3 bedrooms , 3 beds , 3 baths,295589552,Arjun,,Hastings-Sunrise,Vancouver ,49.26286871,-123.0505563,Entire home/apt,227,1,41,11/25/2023,5.97,3,41,4.85,License,N,322,1,365
855966328265058743,Rental unit , 1 bedroom , 1 bed , 1 bath,390163367,Deepinder,,West Point Grey,Vancouver ,49.26525764,-123.2142272,Entire home/apt,88,90,0,null,0,1,0,0,Unlicense,null,115,90,365
856445429424581371,Rental unit , 1 bedroom , 2 beds , 1 bath,507029538,Aneta,,Downtown,Vancouver ,49.27746351,-123.1234063,Entire home/apt,135,1,29,12/7/2023,3.77,1,29,5,License,N,34,4.323529412,365
856504689681093677,Rental unit , 2 bedrooms , 3 beds , 2 baths,507156935,Melville,,Downtown,Vancouver ,49.2873812,-123.1237839,Entire home/apt,254,2,41,11/14/2023,4.92,1,41,4.83,License,N,106,1.990566038,1125
856526198987719251,Rental unit , 1 bedroom , 2 beds , 1 bath,62051586,Shanta,,Downtown,Vancouver ,49.27792639,-123.1257189,Entire home/apt,130,30,2,10/2/2023,0.39,1,2,0,Unlicense,null,92,30,365
856586792709512630,Home , 1 bedroom , 2 beds , 1 shared bath,115386621,Stella,,Kerrisdale,Vancouver ,49.22431198,-123.1485861,Private room,95,1,13,9/14/2023,1.57,3,13,5,License,N,265,1,365
856701631313625680,Rental unit , 1 bedroom , 1 bed , 1 private bath,376669004,Arad,,Renfrew-Collingwood,Vancouver ,49.25186818,-123.0334655,Private room,60,30,0,null,0,1,0,0,Unlicense,null,28,30,65
856799766039663964,Home , 2 bedrooms , 2 beds , 1 bath,213207978,Tony,,Sunset,Vancouver ,49.21397255,-123.1046884,Entire home/apt,68,30,1,10/13/2023,0.48,1,1,0,Unlicense,null,66,30,180
856831885630423028,Home , 2 bedrooms , 2 beds , 1 bath,441975107,Genie,,Victoria-Fraserview,Vancouver ,49.23098508,-123.0508972,Entire home/apt,136,1,24,10/21/2023,3.19,4,24,4.75,License,N,3,1,365
857096907909724352,Home , 1 bedroom , 1 bed , 1 private bath,506721760,Sam,,Kerrisdale,Vancouver ,49.22997119,-123.1427,Private room,43,30,5,10/25/2023,0.66,4,5,5,Unlicense,N,349,30,365
857103942357227944,Home , 1 bedroom , 1 bed , 1 private bath,506721760,Sam,,Kerrisdale,Vancouver ,49.23010772,-123.1440209,Private room,0,30,1,6/24/2023,0.17,4,1,0,Unlicense,null,365,30,365
857119071391512022,Home , 1 bedroom , 1 bed , 1 shared bath,506721760,Sam,,Kerrisdale,Vancouver ,49.23069657,-123.1441318,Private room,41,30,2,9/9/2023,0.36,4,2,0,Unlicense,null,335,30,365
857430784600094947,Rental unit , 2 bedrooms , 3 beds , 2 baths,72899672,Megan,,Mount Pleasant,Vancouver ,49.27058099,-123.1101063,Entire home/apt,299,2,34,11/26/2023,4.13,1,34,4.97,License,N,233,1.43776824,1125
857504861986966103,Loft , 1 bedroom , 4 beds , 1 bath,314341438,Joshua,,Downtown,Vancouver ,49.28033993,-123.1203455,Entire home/apt,67,2,66,12/13/2023,7.92,5,66,4.73,License,N,327,1.972477064,1125
857520271908423210,Condo , 2 bedrooms , 3 beds , 1 bath,319023064,Jon,,Downtown,Vancouver ,49.27743,-123.12033,Entire home/apt,113,2,26,12/7/2023,3.21,5,26,4.88,License,N,300,5,1125
857547425681870506,Home , 3 bedrooms , 4 beds , 2 baths,434349773,Tony,,West End,Vancouver ,49.27892189,-123.1305,Entire home/apt,98,3,38,12/3/2023,4.54,3,38,4.74,License,N,313,7,1125
857585207151582014,Guest suite , 1 bedroom , 1 bed , 1 bath,178326461,Shu,,Kensington-Cedar Cottage,Vancouver ,49.23648538,-123.0787406,Entire home/apt,75,2,33,12/9/2023,6,1,33,4.85,License,N,116,2,29
857915710431128790,Home , 1 bedroom , 1 bed , 1 private bath,495944342,Maria,,Renfrew-Collingwood,Vancouver ,49.24637144,-123.0509013,Private room,75,1,6,11/10/2023,1.04,3,6,5,License,N,204,1,1125
857977355417653552,Rental unit , 3 bedrooms , 4 beds , 2 baths,485707851,Haojun,,Downtown,Vancouver ,49.2789066,-123.1079972,Entire home/apt,356,2,18,11/29/2023,2.44,1,18,4.72,License,N,57,2,1125
858161048503942138,Home , 3 bedrooms , 3 beds , 1 bath,167328182,Don,,Hastings-Sunrise,Vancouver ,49.2884478,-123.0452316,Entire home/apt,149,2,34,12/10/2023,3.98,3,34,4.94,License,N,224,4.566964286,1125
858277020967488024,Home , 1 bedroom , 1 bed , 1 private bath,26374910,Alexander,,Shaughnessy,Vancouver ,49.23964777,-123.1517088,Private room,86,1,19,10/1/2023,2.53,4,19,4.58,License,N,196,1,1125
858363910971019719,Rental unit , 1 bedroom , 1 bed , 1 bath,422317726,Elite Hosting,,Marpole,Vancouver ,49.2087856,-123.1320973,Entire home/apt,146,30,1,10/1/2023,0.4,2,1,0,Unlicense,null,295,30,60
858609833316364347,Rental unit , 3 bedrooms , 5 beds , 2 baths,10768832,Mei-Ling,,Downtown,Vancouver ,49.27847231,-123.1083554,Entire home/apt,285,2,8,11/9/2023,1.57,1,8,4.88,License,N,51,2.509803922,365
858636557062356269,Home , 2 bedrooms , 3 beds , 1 bath,9710413,Carol,,Marpole,Vancouver ,49.21786758,-123.1268969,Entire home/apt,170,30,18,9/18/2023,2.16,1,18,4.89,License,N,1,30,1125
858692028400666453,Home , 2 bedrooms , 2 beds , 1 private bath,447833515,Sharon,,Oakridge,Vancouver ,49.2201436,-123.1350805,Private room,120,4,4,9/19/2023,0.6,17,4,3.75,License,N,255,4,365
858726621289236858,Home , 8 bedrooms , 9 beds , 6 baths,504246804,Rose,,Shaughnessy,Vancouver ,49.2419609,-123.1296982,Entire home/apt,0,2,6,8/27/2023,1.13,5,6,5,License,N,365,2,365
858780834714802319,Home , 5 bedrooms , 5 beds , 3.5 baths,145086260,Simon,,Dunbar Southlands,Vancouver ,49.24892642,-123.1850707,Entire home/apt,398,1,28,10/26/2023,3.39,1,28,4.86,License,N,239,2.832635983,1125
858817206664004737,Rental unit , 1 bedroom , 1 bed , 1 bath,333674592,Con,,West End,Vancouver ,49.28276888,-123.1337226,Entire home/apt,80,30,0,null,0,1,0,0,Unlicense,null,186,30,30
858933253957666180,Home , 1 bedroom , 1 bed , 1 shared bath,76376244,Mike,,Riley Park,Vancouver ,49.23369273,-123.1106954,Private room,76,1,3,11/22/2023,0.35,2,3,4,License,N,3,1,365
859531862523385607,Home , 2 bedrooms , 2 beds , 1 bath,489489071,Gordon,,Oakridge,Vancouver ,49.22309491,-123.1294922,Entire home/apt,77,1,34,12/8/2023,4.18,8,34,4.53,License,N,205,1.263414634,1125
859577678298563830,Guest suite , 2 bedrooms , 2 beds , 1 bath,478713743,La Chambre,,Kensington-Cedar Cottage,Vancouver ,49.24359683,-123.0823022,Entire home/apt,165,2,8,10/26/2023,1.37,1,8,4.88,License,N,186,2,180
860066776616502976,Rental unit , 1 bedroom , 1 bed , 1 bath,238308886,Terry,,West End,Vancouver ,49.27822893,-123.1350892,Entire home/apt,145,30,3,9/13/2023,0.43,37,3,5,Unlicense,N,235,30,365
