id,unit_type,no_of_room,no_of_bed,no_of_bath,host_id,host_name,neighbourhood_group,neighbourhood,city,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,number_of_reviews_ltm,rating,license,is_new,calendar.count_demand,calendar.min_night,calendar.max_night
865184696356075536,Condo , 2 bedrooms , 2 beds , 1 bath,466660878,Shivanshu,,Fairview,Vancouver ,49.26212,-123.12424,Entire home/apt,239,30,0,null,0,1,0,0,Unlicense,null,1,30,365
865196933836802368,Home , 2 bedrooms , 2 beds , 2 baths,509135789,Maggie,,West Point Grey,Vancouver ,49.26059,-123.20785,Entire home/apt,198,1,19,8/17/2023,2.5,1,19,4.58,License,N,365,1,1125
865246367778097728,Rental unit , 1 bedroom , 2 beds , 1 bath,509144210,Robert,,Downtown,Vancouver ,49.28170913,-123.1240871,Entire home/apt,129,1,25,12/7/2023,3.28,1,25,4.84,License,N,33,3.96969697,365
865249520880072777,Home , 1 bedroom , 1 bed , 1 shared bath,56361990,Johanna,,Killarney,Vancouver ,49.21349354,-123.0405925,Private room,89,1,9,9/25/2023,1.72,1,9,5,License,N,205,1,7
865303224143741995,Home , 1 bedroom , 1 bed , 1 shared bath,447833515,Sharon,,Dunbar Southlands,Vancouver ,49.2368395,-123.173658,Private room,50,3,5,9/16/2023,0.71,17,5,4.8,License,N,239,2.882845188,365
865314875324859194,Condo , 1 bedroom , 1 bed , 1 bath,48992827,Parham,,Downtown,Vancouver ,49.27730204,-123.1287909,Entire home/apt,197,3,24,12/4/2023,3.48,1,24,5,License,N,312,3,60
865315485859361458,Home , 1 bedroom , 1 bed , 1 shared bath,447833515,Sharon,,Dunbar Southlands,Vancouver ,49.23506001,-123.1755975,Private room,50,4,9,10/13/2023,1.2,17,9,4.67,License,N,231,3.922077922,365
865386033357434939,Rental unit , 2 bedrooms , 3 beds , 2 baths,8662681,Shawn,,Downtown,Vancouver ,49.28059688,-123.1067899,Entire home/apt,92,30,3,11/27/2023,0.44,1,3,5,Unlicense,N,365,30,1125
865532956654984560,Rental unit , 2 bedrooms , 2 beds , 2 baths,12270561,Jj,,Downtown,Vancouver ,49.28937805,-123.1226824,Entire home/apt,168,30,0,null,0,1,0,0,Unlicense,null,35,30,1125
865607873220514341,Rental unit , 1 bedroom , 2 beds , 1 bath,509207234,Yanni,,Downtown,Vancouver ,49.2791698,-123.1214159,Entire home/apt,329,3,25,11/25/2023,3.35,1,25,4.96,License,N,199,1.577889447,20
865848826280323690,Home , 3 bedrooms , 3 beds , 2.5 baths,441975107,Genie,,Victoria-Fraserview,Vancouver ,49.23111,-123.05082,Entire home/apt,177,2,16,10/22/2023,2.08,4,16,4.69,License,N,105,2,365
865877835641973173,Home , 3 bedrooms , 3 beds , 2.5 baths,441975107,Genie,,Victoria-Fraserview,Vancouver ,49.23145,-123.04904,Entire home/apt,186,2,20,11/26/2023,2.62,4,20,4.75,License,N,104,2,365
865944829966638746,Home , 1 bedroom , 1 bed , 1 shared bath,447833515,Sharon,,Kerrisdale,Vancouver ,49.23464447,-123.1737708,Private room,50,4,12,10/23/2023,1.55,17,12,4.42,License,N,225,4,365
865960263945239219,Bed and breakfast , 1 bedroom , 1 bed , 1 private bath,385398255,Yi Yun,,Dunbar Southlands,Vancouver ,49.25669689,-123.1908926,Private room,122,1,10,9/24/2023,1.46,3,10,4.4,License,N,110,1,365
865962935397476105,Home , 2 bedrooms , 2 beds , 1 shared bath,447833515,Sharon,,Dunbar Southlands,Vancouver ,49.23627319,-123.1737514,Private room,80,4,15,10/16/2023,1.97,17,15,4.33,License,N,243,4.436213992,365
866075167467383789,Rental unit , 3 bedrooms , 3 beds , 2 baths,72034701,David,,Downtown,Vancouver ,49.27415318,-123.1248122,Entire home/apt,255,30,1,8/14/2023,0.24,1,1,0,Unlicense,null,197,30,1000
866204118838587582,Home , 2 bedrooms , 2 beds , 1 bath,17829585,Peter,,Riley Park,Vancouver ,49.25620975,-123.09565,Entire home/apt,150,2,15,8/13/2023,1.99,1,15,4.38,License,N,212,2,365
866584621160677653,Rental unit , 1 bedroom , 2 beds , 1 bath,305306386,Kelly,,Downtown,Vancouver ,49.2757772,-123.1258549,Entire home/apt,119,30,2,10/21/2023,0.44,2,2,0,Unlicense,null,199,30,1125
866623099520556575,Rental unit , 1 bedroom , 1 bed , 1 bath,271365687,Mitch,,Downtown Eastside,Vancouver ,49.2811219,-123.1062678,Entire home/apt,88,1,44,12/9/2023,5.34,1,44,4.91,License,N,206,1.077669903,365
866732382682457010,Condo , 1 bedroom , 1 bed , 1 private bath,14893245,Monet,,West End,Vancouver ,49.28216972,-123.1248985,Private room,128,1,25,12/1/2023,4.01,2,25,5,License,N,354,1,15
866740275981598597,Rental unit , 1 bedroom , 2 beds , 1 bath,509457341,Yong,,Downtown,Vancouver ,49.2788408,-123.107399,Entire home/apt,112,3,28,12/6/2023,3.84,1,28,4.62,License,N,68,2.058823529,1125
866751492185460766,Rental unit , 2 bedrooms , 2 beds , 2 baths,509460077,Lucas,,Fairview,Vancouver ,49.2663441,-123.1195823,Entire home/apt,139,2,6,9/22/2023,0.98,1,6,4.57,License,N,27,2.481481481,365
866819081547287142,Home , 3 bedrooms , 3 beds , 2 baths,227662329,Jordan,,Mount Pleasant,Vancouver ,49.25838239,-123.0994199,Entire home/apt,101,1,13,11/22/2023,1.76,134,13,4.85,License,N,72,30,1125
866824932449260252,Home , 3 bedrooms , 3 beds , 2 baths,227662329,Jordan,,Mount Pleasant,Vancouver ,49.25908,-123.10123,Entire home/apt,114,1,10,7/18/2023,1.24,134,10,4.7,License,N,28,30,1125
866859147211138694,Rental unit , 1 bedroom , 2 beds , 1 bath,470858240,Jenny,,Downtown,Vancouver ,49.2745482,-123.127821,Entire home/apt,245,2,32,10/28/2023,4.23,1,32,4.84,License,N,233,4,300
866911761347345409,Home , 5 bedrooms , 8 beds , 2 baths,21144476,Tariq,,Hastings-Sunrise,Vancouver ,49.28956301,-123.0434424,Entire home/apt,675,3,25,11/25/2023,3.3,1,25,4.92,License,N,62,3,365
866976300595521910,Condo , 1 bedroom , 1 bed , 1 shared bath,85851326,Olivia,,Downtown,Vancouver ,49.28869229,-123.1258841,Private room,131,1,30,12/4/2023,3.81,1,30,4.94,License,N,315,1,30
867196923249815527,Rental unit , 1 bedroom , 2 beds , 1 bath,5654473,Maryam,,Mount Pleasant,Vancouver ,49.26756,-123.0982,Entire home/apt,200,7,0,null,0,3,0,0,Exempt,null,2,7,365
867368122512670343,Home , 1 bedroom , 2 beds , 1 bath,509589094,Shang Zheng,,Kensington-Cedar Cottage,Vancouver ,49.23949,-123.08227,Entire home/apt,98,2,19,11/27/2023,3.93,2,19,4.74,License,N,186,2,1125
867399655980417849,Home , 3 bedrooms , 5 beds , 3 baths,509671301,Mitra,,Kitsilano,Vancouver ,49.26589937,-123.1694074,Entire home/apt,363,2,26,11/3/2023,3.41,1,26,4.77,License,N,288,2,64
848541932619132809,Home , 1 bedroom , 1 bed , 1 shared bath,58410001,Lola,,Victoria-Fraserview,Vancouver ,49.21484552,-123.0768705,Private room,116,30,1,9/13/2023,0.33,9,1,0,Unlicense,null,0,0,0
867672553783379959,Rental unit , 2 bedrooms , 2 beds , 1 bath,509661168,Paul,,Downtown,Vancouver ,49.2808212,-123.1240325,Entire home/apt,156,2,20,10/20/2023,2.67,1,20,4.45,License,N,353,2,1125
868071794996779186,Rental unit , 1 bedroom , 1 bed , 2 baths,95217850,Mauricio,,Downtown,Vancouver ,49.27913,-123.11286,Entire home/apt,167,30,0,null,0,42,0,0,Unlicense,null,20,30,365
868105255970935888,Home , 1 bedroom , 2 beds , 1.5 baths,227662329,Jordan,,Kerrisdale,Vancouver ,49.22766707,-123.1697399,Entire home/apt,50,1,26,12/11/2023,3.42,134,26,4.58,License,N,62,1,1125
868427680339902514,Home , 1 bedroom , 1 bed , 2 shared baths,455722558,Tong,,Oakridge,Vancouver ,49.23265904,-123.129154,Private room,54,1,7,12/12/2023,1.18,1,7,4.71,License,N,276,1,90
868443593230937166,Home , 3 bedrooms , 3 beds , 2 baths,424939943,Meg,,Grandview-Woodland,Vancouver ,49.26579397,-123.0692489,Entire home/apt,252,2,40,12/3/2023,6,1,40,4.98,License,N,50,2.26,1125
868482830032890305,Home , 3 bedrooms , 4 beds , 2.5 baths,166909481,Vivian,,Victoria-Fraserview,Vancouver ,49.22050948,-123.0742887,Entire home/apt,307,4,25,12/4/2023,3.21,2,25,5,License,N,359,4,1125
868736274410677351,Home , 6 bedrooms , 6 beds , 3 baths,407628686,Jason And Lisa,,Marpole,Vancouver ,49.21102,-123.13271,Entire home/apt,511,60,7,9/9/2023,1.06,7,7,5,License,N,18,60,365
868753929691857723,Home , 1 bedroom , 1 bed , 1 shared bath,411955795,Vivian,,Marpole,Vancouver ,49.21787242,-123.1381199,Shared room,189,1,0,null,0,2,0,0,License,null,1,1,365
868992349650779241,Home , 1 bedroom , 1 bed , 1 shared bath,20368433,Nicolas,,South Cambie,Vancouver ,49.24630142,-123.116142,Private room,130,1,48,9/28/2023,6,2,48,4.79,License,N,119,1,365
869044857815492255,Home , 1 bedroom , 1 bed , 1 private bath,407628686,Jason And Lisa,,Marpole,Vancouver ,49.21108592,-123.1308596,Private room,66,3,8,10/9/2023,1.17,7,8,4.88,License,N,29,3,1125
869078983868340367,Rental unit , 2 bedrooms , 3 beds , 1 bath,273866287,Nick,,Kitsilano,Vancouver ,49.26569778,-123.1516861,Entire home/apt,192,30,0,null,0,1,0,0,License,null,276,30,1125
869517941072620993,Home , 1 bedroom , 1 bed , 1 bath,94396030,Dan,,Hastings-Sunrise,Vancouver ,49.2869564,-123.0505634,Entire home/apt,80,2,39,12/12/2023,6.19,1,39,4.87,License,N,126,2,30
869779981409832743,Condo , 1 bedroom , 1 bed , 1 bath,510097909,Andrew,,Downtown,Vancouver ,49.27870437,-123.125153,Entire home/apt,155,1,59,11/30/2023,7.38,1,59,4.73,License,N,350,1.011428571,30
869801239501689123,Rental unit , 1 bedroom , 1 bed , 1 bath,91542832,Furkan,,Grandview-Woodland,Vancouver ,49.27606908,-123.0694109,Private room,150,1,7,9/3/2023,0.95,2,7,5,License,N,6,1,365
870345135525475141,Home , 3 bedrooms , 5 beds , 1.5 baths,42914841,Sheldon,,Grandview-Woodland,Vancouver ,49.27294583,-123.0679473,Entire home/apt,585,7,0,null,0,1,0,0,License,null,128,7,1125
870464807080181034,Rental unit , 2 bedrooms , 2 beds , 1 bath,491572694,Arya,,Downtown,Vancouver ,49.27977912,-123.1275044,Entire home/apt,147,1,51,12/3/2023,6.89,1,51,4.92,License,N,291,1.288659794,730
870705457408939929,Rental unit , 1 bedroom , 2 beds , 1 bath,91542832,Furkan,,Grandview-Woodland,Vancouver ,49.27780118,-123.06799,Entire home/apt,250,1,6,9/24/2023,0.97,2,6,4.83,License,N,44,1,2
870931121942621137,Rental unit , 1 bedroom , 1 bed , 1 bath,278426246,Will,,Downtown,Vancouver ,49.2788408,-123.107399,Entire home/apt,90,1,48,12/4/2023,6.67,1,48,4.6,License,N,267,1.041198502,365
871054177078559946,Home , 1 bedroom , 1 bed , 1 shared bath,388321759,Angie,,Oakridge,Vancouver ,49.2276958,-123.1325916,Private room,75,1,34,9/3/2023,4.72,4,34,4.91,License,N,53,1,28
871189407756302111,Rental unit , 1 bedroom , 2 beds , 1 bath,510383746,Pauline,,Downtown,Vancouver ,49.28084405,-123.1081173,Entire home/apt,114,2,1,5/6/2023,0.13,1,1,0,License,null,341,2,1125
871306692569551739,Rental unit , 2 bedrooms , 2 beds , 1 bath,461126783,Sony,,Downtown Eastside,Vancouver ,49.28051,-123.08376,Entire home/apt,358,4,2,7/26/2023,0.32,1,2,0,License,null,294,3,1125
871313771147128114,Condo , 2 bedrooms , 3 beds , 2 baths,485229502,Aj,,Downtown,Vancouver ,49.277622,-123.1296624,Entire home/apt,279,3,23,10/30/2023,2.94,3,23,4.78,License,N,291,2.144329897,1125
871327643546008840,Rental unit , 1 bedroom , 2 beds , 1 bath,502055554,Martin,,Downtown,Vancouver ,49.27945048,-123.1249918,Entire home/apt,211,5,30,11/28/2023,3.95,1,30,4.83,License,N,76,4.947368421,1125
871363809086161529,Condo , 1 bedroom , 1 bed , 1 bath,22340772,Faith,,Downtown,Vancouver ,49.27893579,-123.1235722,Entire home/apt,177,3,33,12/5/2023,4.27,1,33,4.88,License,N,215,3,1125
871705313847044629,Rental unit , 2 bedrooms , 3 beds , 1 bath,314341438,Joshua,,Mount Pleasant,Vancouver ,49.26805363,-123.1024044,Entire home/apt,77,2,48,12/2/2023,6.37,5,48,4.96,License,N,313,1.961661342,1125
871706993649565094,Home , 2 bedrooms , 2 beds , 1 bath,95888031,Chango,,Hastings-Sunrise,Vancouver ,49.28375159,-123.0250156,Entire home/apt,129,2,34,11/5/2023,4.53,1,34,4.89,License,N,236,2,1125
871724366756435985,Home , 3 bedrooms , 3 beds , 2 baths,510496832,Aj,,Kensington-Cedar Cottage,Vancouver ,49.24299,-123.08975,Entire home/apt,180,2,29,11/13/2023,3.83,1,29,4.52,License,N,195,2,1125
871728697965016227,Home , 3 bedrooms , 3 beds , 2 baths,18681484,Allen,,Downtown Eastside,Vancouver ,49.28302684,-123.0898049,Entire home/apt,350,3,7,11/26/2023,0.96,1,7,4.86,License,N,186,3,1125
871804706334586559,Home , 3 bedrooms , 3 beds , 2 baths,64940349,Sheila,,Marpole,Vancouver ,49.20896872,-123.1458288,Entire home/apt,329,2,3,7/15/2023,0.55,4,3,5,License,N,24,2,1125
871937788624894403,Rental unit , 1 bedroom , 1 bed , 1 bath,502898478,Lee,,West Point Grey,Vancouver ,49.26311755,-123.206119,Private room,60,14,1,9/30/2023,0.4,6,1,0,License,null,96,14,365
871938222700272619,Rental unit , 1 bedroom , 4 beds , 1 shared bath,502898478,Lee,,Kitsilano,Vancouver ,49.269117,-123.1790829,Shared room,49,31,1,8/4/2023,0.23,6,1,0,Unlicense,null,1,31,365
853226258434336593,Home , 1 bedroom , 1 bed , 1 private bath,188209109,Haidy,,Oakridge,Vancouver ,49.22465815,-123.1205572,Private room,45,30,3,9/1/2023,0.5,20,3,3.67,Unlicense,N,0,0,0
871972201856652966,Rental unit , 1 bedroom , 1 bed , 1 shared bath,502898478,Lee,,Fairview,Vancouver ,49.26495436,-123.139302,Shared room,48,31,0,null,0,6,0,0,Unlicense,null,1,31,365
871972440611144914,Rental unit , 1 bedroom , 1 bed , 1 shared bath,485530982,Darene Harolde,,Kitsilano,Vancouver ,49.26050023,-123.1839084,Shared room,14,31,0,null,0,1,0,0,Unlicense,null,116,31,365
872368827432465536,Rental unit , 1 bedroom , 2 beds , 1 bath,333426323,Jessica,,Downtown,Vancouver ,49.27744981,-123.1240367,Entire home/apt,132,30,0,null,0,10,0,0,Exempt,null,24,23.125,365
872477656360128660,Home , 3 bedrooms , 4 beds , 2 baths,167328182,Don,,Hastings-Sunrise,Vancouver ,49.2868603,-123.0481242,Entire home/apt,161,2,42,12/12/2023,5.48,3,42,4.95,License,N,236,4.288135593,1125
872490495087211518,Home , 2 bedrooms , 2 beds , 1 bath,510671454,Charles,,Sunset,Vancouver ,49.22743896,-123.0998584,Entire home/apt,145,2,18,8/27/2023,2.61,2,18,4.83,License,N,325,2,29
872501886847947849,Bed and breakfast , 1 bedroom , 1 bed , 1 bath,385398255,Yi Yun,,Dunbar Southlands,Vancouver ,49.25700956,-123.1923254,Private room,122,1,9,9/25/2023,1.43,3,9,4.44,License,N,110,1,365
872759139209238330,Guest suite , 1 bedroom , 2 beds , 1 bath,50931826,Gabrielle,,Grandview-Woodland,Vancouver ,49.2741135,-123.065908,Entire home/apt,122,3,23,11/13/2023,3,1,23,4.91,License,N,194,3,28
872779770188052552,Home , 1 bedroom , 1 bed , 1 bath,22603103,Ilya/ Lena,,Grandview-Woodland,Vancouver ,49.27049443,-123.064356,Private room,95,1,29,11/11/2023,3.7,6,29,4.72,License,N,275,1,1125
872780446377182563,Rental unit , Studio , 1 bed , 1 bath,425595109,Amine,,West End,Vancouver ,49.28470086,-123.1357074,Private room,155,5,1,6/25/2023,0.17,1,1,0,Exempt,null,1,5,365
872852188124398534,Condo , 1 bedroom , 1 bed , 1 shared bath,125891752,Nimrah,,Fairview,Vancouver ,49.25977,-123.12676,Private room,63,35,5,10/31/2023,0.87,2,5,5,Unlicense,N,318,35,730
872856520904679771,Rental unit , 1 bedroom , 1 bed , 1 bath,311682442,Spencer,,West End,Vancouver ,49.28181259,-123.1324736,Entire home/apt,99,30,40,12/3/2023,5.41,3,40,4.8,License,N,290,30,1125
873041376969359935,Home , 1 bedroom , 1 bed , 1 private bath,495944342,Maria,,Renfrew-Collingwood,Vancouver ,49.24621202,-123.0523273,Private room,70,1,25,11/15/2023,3.49,3,25,4.88,License,N,259,1,1125
