id,no_of_bed,no_of_bath,neighbourhoodID,room_type_ID,price,number_of_reviews,rating,licenseID,calendar.count_demand
12561247,1,1,5,2,151,229,4.95,2,135
12603779,1,1,11,1,120,10,4.7,4,147
12604369,2,1,16,1,143,412,4.85,2,213
12611121,5,1,12,1,190,75,4.76,2,174
12728177,1,1,22,1,195,68,4.74,2,265
12798674,2,1,18,1,239,120,4.92,2,41
12815958,2,1,12,1,114,79,4.75,2,191
12853613,2,1,3,1,251,269,4.68,2,117
13000591,1,1,12,2,95,53,4.83,2,1
13093588,1,1,2,1,155,25,4.96,4,84
13095062,4,2,16,1,199,15,5,4,91
13095272,2,1,6,2,109,25,4.72,2,276
13131513,1,1.5,6,2,72,124,4.69,2,225
13205734,2,1,15,1,90,306,4.85,2,100
13261213,2,1,13,1,138,27,4.96,4,103
12762068,2,1,16,2,115,58,4.55,2,0
13284465,3,2,2,1,199,376,4.82,2,17
13317612,1,1,2,1,138,199,4.93,2,339
13350002,3,1,16,1,150,137,4.79,2,275
13358432,1,1,15,1,36,38,4.58,4,258
13361855,1,1,1,2,78,352,4.89,2,99
13396760,3,2,16,1,549,20,4.9,2,361
13416108,2,2,3,1,266,333,4.87,2,14
13525164,1,1,22,1,99,136,4.91,4,191
13558558,2,1,13,1,150,1,0,4,95
13606952,2,1,2,1,140,58,4.84,2,240
13607164,2,1,8,1,145,65,4.86,4,212
13619735,1,1,2,1,129,512,4.85,2,113
13620049,2,2,3,1,300,5,5,4,6
13621955,7,3.5,23,1,493,46,4.7,2,310
13659871,2,2,11,1,500,12,4.83,4,340
13669501,2,1,2,2,280,95,4.65,1,258
13673539,2,1,8,1,98,129,4.79,2,49
13684395,1,1,7,1,115,49,4.73,2,311
13701691,1,1,8,1,90,453,4.73,2,306
13766869,1,1,2,1,115,71,4.92,1,80
13767831,2,2,11,1,235,3,5,4,336
13784356,1,1,2,1,121,60,4.63,4,266
13800057,3,2,2,1,280,16,4.94,4,262
